metodo;geografía;sexo;edad;estudios;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P24;pondedad;pondestudios;pondedadestudios;pondZonapais;pondedadestudiosZonapais;pondestudios2;pondedadestudiosZonapaisestudios2;pondedad2;pondedadestudiosZonapaisestudios2edad2;pondsexo;pondedadestudiosZonapaisestudios2edad2sexo;pondZonapais2;pondedadestudiosZonapaisestudios2edad2sexoZonapais2;pondvotant;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votant;pondest3;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votantest3;imagen_massa;imagen_villaruel;imagen_macri;imagen_milei;imagen_bullrich;imagen_cfk
IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;1.0061214290132;0.4188235807431264;1.00153856484205;0.41946796797947933;1.08834275989641;0.45652492595892546;0.994776393869599;0.45414021955700556;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Algo negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;1.0061214290132;0.4188235807431264;1.00153856484205;0.41946796797947933;1.08834275989641;0.45652492595892546;0.994776393869599;0.45414021955700556;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;1.21386734889247;0.6742323164350383;1.33236398167393;0.8983228536986249;1.01894833299725;0.9153445742695463;1.02151472734302;0.9350379632098683;0.994415194355708;0.9298159579153066;1.00153856484205;0.9312465400577322;1.08834275989641;1.013515429550415;0.965362198393827;0.9784094831768525;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.30477388912726566;1.33236398167393;0.4060697524278526;1.00354176963286;0.4075079579458245;1.02151472734302;0.41627538055113983;0.994415194355708;0.413950563456258;1.00153856484205;0.41458745323953866;1.08834275989641;0.45121325307714333;0.994776393869599;0.4488562927622514;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
